nse_symbol,company_name,screener_slug,screener_name
GODREJCP,Godrej Consumer Products Ltd.,GODREJCP,Godrej Consumer Products Ltd
GODREJIND,Godrej Industries Ltd.,GODREJIND,Godrej Industries Ltd
GODREJPROP,Godrej Properties Ltd.,GODREJPROP,Godrej Properties Ltd
GRANULES,Granules India Ltd.,GRANULES,Granules India Ltd
GRAPHITE,Graphite India Ltd.,GRAPHITE,Graphite India Ltd
GRASIM,Grasim Industries Ltd.,GRASIM,Grasim Industries Ltd
GRAVITA,Gravita India Ltd.,GRAVITA,Gravita India Ltd
FLUOROCHEM,Gujarat Fluorochemicals Ltd.,FLUOROCHEM,Gujarat Fluorochemicals Ltd
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,GMDCLTD,Gujarat Mineral Development Corporation Ltd
HEG,H.E.G. Ltd.,HEG,HEG Ltd
HBLENGINE,HBL Engineering Ltd.,HBLENGINE,HBL Engineering Ltd
HCLTECH,HCL Technologies Ltd.,HCLTECH,HCL Technologies Ltd
HDBFS,HDB Financial Services Ltd.,HDBFS,HDB Financial Services Ltd
HDFCAMC,HDFC Asset Management Company Ltd.,HDFCAMC,HDFC Asset Management Company Ltd
HDFCBANK,HDFC Bank Ltd.,HDFCBANK,HDFC Bank Ltd
HDFCLIFE,HDFC Life Insurance Company Ltd.,HDFCLIFE,HDFC Life Insurance Company Ltd
HFCL,HFCL Ltd.,HFCL,HFCL Ltd
HAVELLS,Havells India Ltd.,HAVELLS,Havells India Ltd
HEROMOTOCO,Hero MotoCorp Ltd.,HEROMOTOCO,Hero MotoCorp Ltd
HEXT,Hexaware Technologies Ltd.,HEXT,Hexaware Technologies Ltd
HSCL,Himadri Speciality Chemical Ltd.,HSCL,Himadri Speciality Chemical Ltd
HINDALCO,Hindalco Industries Ltd.,HINDALCO,Hindalco Industries Ltd
HAL,Hindustan Aeronautics Ltd.,HAL,Hindustan Aeronautics Ltd
HINDCOPPER,Hindustan Copper Ltd.,HINDCOPPER,Hindustan Copper Ltd
HINDPETRO,Hindustan Petroleum Corporation Ltd.,HINDPETRO,Hindustan Petroleum Corporation Ltd
HINDUNILVR,Hindustan Unilever Ltd.,HINDUNILVR,Hindustan Unilever Ltd
HINDZINC,Hindustan Zinc Ltd.,HINDZINC,Hindustan Zinc Ltd
POWERINDIA,Hitachi Energy India Ltd.,POWERINDIA,Hitachi Energy India Ltd
HOMEFIRST,Home First Finance Company India Ltd.,HOMEFIRST,Home First Finance Company India Ltd
HONASA,Honasa Consumer Ltd.,HONASA,Honasa Consumer Ltd
HONAUT,Honeywell Automation India Ltd.,HONAUT,Honeywell Automation India Ltd
HUDCO,Housing & Urban Development Corporation Ltd.,HUDCO,Housing & Urban Development Corporation Ltd
HYUNDAI,Hyundai Motor India Ltd.,HYUNDAI,Hyundai Motor India Ltd
ICICIBANK,ICICI Bank Ltd.,ICICIBANK,ICICI Bank Ltd
ICICIGI,ICICI Lombard General Insurance Company Ltd.,ICICIGI,ICICI Lombard General Insurance Company Ltd
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI,ICICI Prudential Life Insurance Company Ltd
IDBI,IDBI Bank Ltd.,IDBI,IDBI Bank Ltd
IDFCFIRSTB,IDFC First Bank Ltd.,IDFCFIRSTB,IDFC First Bank Ltd
IFCI,IFCI Ltd.,IFCI,IFCI Ltd
IIFL,IIFL Finance Ltd.,IIFL,IIFL Finance Ltd
IRB,IRB Infrastructure Developers Ltd.,IRB,IRB Infrastructure Developers Ltd
IRCON,IRCON International Ltd.,IRCON,Ircon International Ltd
ITCHOTELS,ITC Hotels Ltd.,ITCHOTELS,ITC Hotels Ltd
ITC,ITC Ltd.,ITC,ITC Ltd
ITI,ITI Ltd.,ITI,ITI Ltd
INDGN,Indegene Ltd.,INDGN,Indegene Ltd
INDIACEM,India Cements Ltd.,INDIACEM,India Cements Ltd
INDIAMART,Indiamart Intermesh Ltd.,INDIAMART,Indiamart Intermesh Ltd
INDIANB,Indian Bank,INDIANB,Indian Bank
IEX,Indian Energy Exchange Ltd.,IEX,Indian Energy Exchange Ltd
IOC,Indian Oil Corporation Ltd.,IOC,Indian Oil Corporation Ltd
IOB,Indian Overseas Bank,IOB,Indian Overseas Bank
IRFC,Indian Railway Finance Corporation Ltd.,IRFC,Indian Railway Finance Corporation Ltd
IREDA,Indian Renewable Energy Development Agency Ltd.,IREDA,Indian Renewable Energy Development Agency Ltd
IGL,Indraprastha Gas Ltd.,IGL,Indraprastha Gas Ltd
INDUSTOWER,Indus Towers Ltd.,INDUSTOWER,Indus Towers Ltd
INDUSINDBK,IndusInd Bank Ltd.,INDUSINDBK,IndusInd Bank Ltd
NAUKRI,Info Edge (India) Ltd.,NAUKRI,Info Edge (India) Ltd
INFY,Infosys Ltd.,INFY,Infosys Ltd
INOXWIND,Inox Wind Ltd.,INOXWIND,Inox Wind Ltd
INTELLECT,Intellect Design Arena Ltd.,INTELLECT,Intellect Design Arena Ltd
INDIGO,InterGlobe Aviation Ltd.,INDIGO,Interglobe Aviation Ltd
IGIL,International Gemological Institute Ltd.,IGIL,International Gemological Institute Limited
IKS,Inventurus Knowledge Solutions Ltd.,IKS,Inventurus Knowledge Solutions Ltd
IPCALAB,Ipca Laboratories Ltd.,IPCALAB,Ipca Laboratories Ltd
JKCEMENT,J.K. Cement Ltd.,JKCEMENT,J K Cements Ltd
JBMA,JBM Auto Ltd.,JBMA,JBM Auto Ltd
JKTYRE,JK Tyre & Industries Ltd.,JKTYRE,JK Tyre & Industries Ltd
JMFINANCIL,JM Financial Ltd.,JMFINANCIL,JM Financial Ltd
JSWCEMENT,JSW Cement Ltd.,JSWCEMENT,JSW Cement Ltd
JSWDULUX,JSW Dulux Ltd.,JSWDULUX,JSW Dulux Ltd
JSWENERGY,JSW Energy Ltd.,JSWENERGY,JSW Energy Ltd
JSWINFRA,JSW Infrastructure Ltd.,JSWINFRA,JSW Infrastructure Ltd
JSWSTEEL,JSW Steel Ltd.,JSWSTEEL,JSW Steel Ltd
JAINREC,Jain Resource Recycling Ltd.,JAINREC,Jain Resource Recycling Ltd
JPPOWER,Jaiprakash Power Ventures Ltd.,JPPOWER,Jaiprakash Power Ventures Ltd
JINDALSAW,Jindal Saw Ltd.,JINDALSAW,Jindal Saw Ltd
JSL,Jindal Stainless Ltd.,JSL,Jindal Stainless Ltd
JINDALSTEL,Jindal Steel Ltd.,JINDALSTEL,Jindal Steel Ltd
JIOFIN,Jio Financial Services Ltd.,JIOFIN,Jio Financial Services Ltd
JUBLFOOD,Jubilant Foodworks Ltd.,JUBLFOOD,Jubilant Foodworks Ltd
JUBLINGREA,Jubilant Ingrevia Ltd.,JUBLINGREA,Jubilant Ingrevia Ltd
JUBLPHARMA,Jubilant Pharmova Ltd.,JUBLPHARMA,Jubilant Pharmova Ltd
JWL,Jupiter Wagons Ltd.,JWL,Jupiter Wagons Ltd
JYOTICNC,Jyoti CNC Automation Ltd.,JYOTICNC,Jyoti CNC Automation Ltd
KPRMILL,K.P.R. Mill Ltd.,KPRMILL,K P R Mill Ltd
KEI,KEI Industries Ltd.,KEI,KEI Industries Ltd
KPITTECH,KPIT Technologies Ltd.,KPITTECH,KPIT Technologies Ltd
KAJARIACER,Kajaria Ceramics Ltd.,KAJARIACER,Kajaria Ceramics Ltd
KPIL,Kalpataru Projects International Ltd.,KPIL,Kalpataru Projects International Ltd
KALYANKJIL,Kalyan Jewellers India Ltd.,KALYANKJIL,Kalyan Jewellers India Ltd
KARURVYSYA,Karur Vysya Bank Ltd.,KARURVYSYA,Karur Vysya Bank Ltd
