holding_id,snapshot_id,security_name,isin,pct
162a6048-955e-484f-a54e-f58821b2c3b7,4e5173a4-3949-4a41-9d6d-6717dbce964e,Units of an Alternative Investment Fund (AIF),,0.367351
6393c305-aa63-40e5-a81e-d3909fd77d58,6615a588-e752-4c95-ad2c-6427d67a3161,Units of an Alternative Investment Fund (AIF),,0.342208
5d51861d-548a-4fee-b1bf-522cbc283214,7468aac9-2bcd-4176-8e4e-d026d1e1e190,Units of an Alternative Investment Fund (AIF),,0.320832
5d25cc1f-e0e1-464e-af90-23fea7ac07c8,761d9f6e-8c8f-4663-aff2-ceb2f151c473,Units of an Alternative Investment Fund (AIF),,0.454879
f1aed7b5-07a2-4a94-b56a-a1a789c67c88,efbf2bbc-4b51-4a3b-b936-b8e5e9673303,Units of an Alternative Investment Fund (AIF),,0.32615
47eb41e2-42e6-4ebc-81d5-afdc2212853e,4e5270ed-dcc5-4d7c-8dee-a4f31b7aab7d,Units of Real Estate Investment Trust (REITs),,5.509663
753d9a8f-154b-44f3-a8bb-8605bc683f2b,4e5270ed-dcc5-4d7c-8dee-a4f31b7aab7d,Units of an Alternative Investment Fund (AIF),,0.375714
deb209f4-bb90-4a63-96fb-b5e012d0a79f,10f3d427-8f0d-4985-8d38-c80ed0eceb23,Units of an Alternative Investment Fund (AIF),,0.439595
4d1c8c5b-bf23-40df-ba50-f9677a7f6155,5fb001ec-1da0-49db-9489-8efc20fe9589,Units of an Alternative Investment Fund (AIF),,0.265076
e7073a93-6c66-4c72-a805-1aef2e58327f,baa02901-03f9-4397-a6e8-587139e0ad5c,Units of an Alternative Investment Fund (AIF),,0.388651
a2c0e65e-b89b-47cf-bf28-ed3638d243e8,839e1c84-24cc-475a-bbd2-2384661c9755,Units of an Alternative Investment Fund (AIF),,0.322333
e74856aa-e345-425d-9626-6cc9e8d90342,9089a6f1-0498-4b5b-9795-d1e33a01d8ab,Equity & Equity Related Instruments,,5.711338
8c0e854e-dd2a-43bb-ad9f-24d1672c2d80,9089a6f1-0498-4b5b-9795-d1e33a01d8ab,Units of Real Estate Investment Trust (REITs),,5.711338
85a1cab6-40a5-4120-ae08-c7436b70ebb1,9089a6f1-0498-4b5b-9795-d1e33a01d8ab,Units of an Alternative Investment Fund (AIF),,0.375871
2ea9fde7-5299-4612-b685-dbe88a83e2da,27ce0443-88cb-4a0c-a4e0-83ece4f8d55b,Units of an Alternative Investment Fund (AIF),,0.447743
6e3cc56d-eb15-412a-a3cf-88d63fd56261,5e488a3d-f278-46f2-975d-b81b2afdab45,Units of an Alternative Investment Fund (AIF),,0.234601
4ef49387-27e1-4225-9854-6d808deaf500,1343c497-4b98-45bc-abad-69b9a52cf686,Units of an Alternative Investment Fund (AIF),,0.390502
62f3ff37-3071-4923-a563-b5f761743143,088a91b9-0596-47d2-aa3b-719eef690847,Equity & Equity Related Instruments,,4.946549
fa74148e-6d56-47bb-9cf5-500eb1a1c9a3,088a91b9-0596-47d2-aa3b-719eef690847,Units of Real Estate Investment Trust (REITs),,4.946549
4b142c99-acc4-48ee-9e59-8b624cd6689d,088a91b9-0596-47d2-aa3b-719eef690847,Units of an Alternative Investment Fund (AIF),,0.348773
65dc56c9-25e8-4702-9aa7-3a378e41c5a0,1db69206-0ecc-44a4-b7ee-56ea5a9e644d,Units of an Alternative Investment Fund (AIF),,0.295063
51423bbe-6081-4aac-a02e-09257d04d78f,28985f02-80e4-4a5f-b54c-a4974d11799c,Units of an Alternative Investment Fund (AIF),,0.45648
0b2f274b-908b-4855-93d3-97380e89781b,a4082ff9-0f4e-4f6a-b40e-7c3fb072f3df,Equity & Equity Related Instruments,,24.276086
fa90e86d-0abe-474c-91f4-6495cf3e57f0,a4082ff9-0f4e-4f6a-b40e-7c3fb072f3df,Units of Real Estate Investment Trust (REITs),,1.090418
1a4c9f6d-bf8d-4222-b6cc-60c498ec7a12,a4082ff9-0f4e-4f6a-b40e-7c3fb072f3df,Units of an Alternative Investment Fund (AIF),,0.298353
2ed6d6a8-fe5b-42e3-93bc-bc1f3cacd0a0,947d68d3-43dc-4195-8d31-f5da2b52e3c3,Equity & Equity Related Instruments,,20.964748
ee3e70dd-eccc-4581-a47a-2ab6789f5fe3,b3433f33-f0b0-40b8-9249-3d3bffe52e04,Units of an Alternative Investment Fund (AIF),,0.323507
46072163-6873-4d67-9587-a3d1e9c3972e,ba21454e-1d9f-4e83-a98b-9760cb8d8c1b,Units of an Alternative Investment Fund (AIF),,0.326105
abe6af6c-6abd-471f-9056-6cf75ece6347,780af6fa-d2f1-4060-8390-695c93461379,Units of an Alternative Investment Fund (AIF),,0.322928
68b93171-5810-450d-adc6-2b926ca87796,aad27759-5340-44cd-bf2e-e9344c47730a,Units of an Alternative Investment Fund (AIF),,0.356003
adad660a-28cc-4ece-9e71-c774ffdea1cd,fb7370a9-93c3-4175-9fda-c02d3318faf2,Equity & Equity Related Instruments,,22.909532
10cc4a34-08e7-45ad-b097-faedcc78e704,fb7370a9-93c3-4175-9fda-c02d3318faf2,Units of Real Estate Investment Trust (REITs),,1.095151
e36a8d0c-91c9-4774-8dc0-125ed6861f0e,fb7370a9-93c3-4175-9fda-c02d3318faf2,Units of an Alternative Investment Fund (AIF),,0.299528
4bf59152-f720-4c13-b3af-29400b11b3e1,be891d6e-bede-4cb7-96c2-b2bb00c2a0c8,Equity & Equity Related Instruments,,21.503925
9a2aaeff-3264-4a00-a674-4e7249e01aa2,4730aca3-2678-4061-8ddf-f5d6fdef6ac5,Units of an Alternative Investment Fund (AIF),,0.331888
980dfd8a-148a-46db-ae16-bd4562d5a6b9,c2cf540d-0b26-4658-a66d-1b3e36abc657,Units of an Alternative Investment Fund (AIF),,0.295483
c5e900da-a5f4-4657-90bf-2efcfc8cf140,d80ae8f5-5486-4936-b727-c279529a5127,Units of an Alternative Investment Fund (AIF),,0.304793
0aa4aead-d20d-43d0-b444-2727de46ff5d,09a9ff33-4804-4fff-97e9-45425803ec32,Units of an Alternative Investment Fund (AIF),,0.313309
df0d342c-9e29-4ab7-9aef-8e7daddc9f44,4bfe59b4-84f5-44da-82d1-17ca8225fa26,Units of an Alternative Investment Fund (AIF),,0.342885
673c009b-1858-4b1a-a8d7-91e95b46b05a,e2071e42-8056-4f46-92dd-2579d1fa5134,Units of an Alternative Investment Fund (AIF),,0.344205
3b6b488d-8fa6-488b-b93f-d0339050bc1d,2d8785c8-b103-46d4-a14a-51e656b8bf7a,Units of an Alternative Investment Fund (AIF),,0.306441
78368906-6a8c-4d38-b585-9325d5e5ac94,ea1a9c70-e894-4c99-b712-c2fd76d6d155,Equity & Equity Related Instruments,,5.927754
15418dc4-3e90-4710-bab5-35a370762645,ea1a9c70-e894-4c99-b712-c2fd76d6d155,Units of Real Estate Investment Trust (REITs),,5.927754
037d5007-5be0-4c8b-9c5f-167fde2b3a8d,ea1a9c70-e894-4c99-b712-c2fd76d6d155,Units of an Alternative Investment Fund (AIF),,0.385979
ac5eeb22-8a1c-45cf-9b24-e33dfbf7a5aa,87eeaaee-7b10-4930-8cab-7e8e692b116c,Units of an Alternative Investment Fund (AIF),,0.462121
aed3a14b-6200-42b5-86a4-a5eb738c4e0a,4c08ed27-d2e4-498f-952b-cc1176317399,Units of an Alternative Investment Fund (AIF),,0.247136
322d56ad-a1ae-4f04-a4a4-ba872886174c,0feb0b91-96de-4b4c-8a3a-8bc5c3c6bb20,Units of an Alternative Investment Fund (AIF),,0.390143
a49e47d4-a54b-4d24-b405-d74d5060a90d,53bf952e-0cab-4f37-b583-69d71b6be02f,Equity & Equity Related Instruments,,4.952086
29671d3a-1d8a-41f5-b748-779bff88fadc,53bf952e-0cab-4f37-b583-69d71b6be02f,Units of Real Estate Investment Trust (REITs),,4.952086
b80b13ba-67c7-4031-9931-1d34092ec2b2,53bf952e-0cab-4f37-b583-69d71b6be02f,Units of an Alternative Investment Fund (AIF),,0.349814
18b29583-9fb9-4246-9f36-586f94da974e,a13045f9-a79f-451a-86dc-e71c5341d9d6,Units of an Alternative Investment Fund (AIF),,0.301379
50aacd30-b7d3-4ffe-894a-4ba5e711a967,ce795584-9008-4123-8a30-2c32e13417dc,Units of an Alternative Investment Fund (AIF),,0.464534
