holding_id,snapshot_id,security_name,isin,percentage_to_nav
0050deec-db40-430f-873c-1050a6aff3f8,2480f950-7769-40fe-b2bf-fce86b29d7ae,Non-Convertible debentures / Bonds,,38.456668
c81c9399-f957-42cc-ba05-10f9126cb7a8,d890f448-3dbe-438b-893d-8b0bca92b8a2,Non-Convertible debentures / Bonds,,51.5043
c30e5557-145d-4c3d-b728-6dfa94bbcc9d,c2e1efb7-370b-463b-b0de-f5317ef5d117,Non-Convertible debentures / Bonds,,22.10614
a929a882-179e-4a55-8ba4-8fd2a2986dbf,45bfc3b7-8943-46d6-9260-693dcac6e51e,Non-Convertible debentures / Bonds,,49.008436
9002649f-3c88-46c6-ba04-04e1c2da0ba6,faf3b901-7fb8-4bf0-8fe3-944ef0aa071f,Non-Convertible debentures / Bonds,,45.691171
bcd7e01d-8185-48ad-bfb7-ac759cf6824c,faf3b901-7fb8-4bf0-8fe3-944ef0aa071f,Zero Coupon Bonds / Deep Discount Bonds,,1.295366
c109315c-307e-4d17-8582-05065255696f,bcf72b4b-e55c-473c-bb1e-3c559343650c,Non-Convertible debentures / Bonds,,68.908242
349d4b5e-8e4a-4c57-9d9b-d352fa8653aa,bcf72b4b-e55c-473c-bb1e-3c559343650c,Zero Coupon Bonds / Deep Discount Bonds,,1.257617
7d19f2b7-9809-4deb-a6a1-649b0d245c5c,6615a588-e752-4c95-ad2c-6427d67a3161,Non-Convertible debentures / Bonds,,37.813468
1cf3a234-b766-43fc-a6cc-e0aefc17c96e,7468aac9-2bcd-4176-8e4e-d026d1e1e190,Non-Convertible debentures / Bonds,,40.332303
166b9986-637c-4f68-b5fb-e5397823b3c1,7468aac9-2bcd-4176-8e4e-d026d1e1e190,Zero Coupon Bonds / Deep Discount Bonds,,1.268573
5b4e632d-9a05-40fa-a591-6b86fe2b6590,2094b2f3-5a8a-43d1-b470-7db60cc5d880,Non-Convertible debentures / Bonds,,70.745708
30c39196-4378-460e-ad9c-9898d3de0d03,761d9f6e-8c8f-4663-aff2-ceb2f151c473,Non-Convertible debentures / Bonds,,34.436631
a07dbf07-47ec-4bd0-855a-ad7ba5366e25,efbf2bbc-4b51-4a3b-b936-b8e5e9673303,Non-Convertible debentures / Bonds,,61.276234
f1f45eaa-e7f9-4eae-8734-d1d1834c5cfc,4e5270ed-dcc5-4d7c-8dee-a4f31b7aab7d,Non-Convertible debentures / Bonds,,70.356814
ffd5d091-42ae-408c-90a1-f3a9c0b063db,4e5270ed-dcc5-4d7c-8dee-a4f31b7aab7d,Zero Coupon Bonds / Deep Discount Bonds,,3.968147
28ca3449-ca04-4fce-ad0c-595ed77d4139,d93ce239-ecf6-4f5e-bd8e-678ee4d38757,Non-Convertible debentures / Bonds,,32.990702
b41b029f-ca90-4516-9948-8c9bf4cf71bb,d93ce239-ecf6-4f5e-bd8e-678ee4d38757,Zero Coupon Bonds / Deep Discount Bonds,,1.360545
8723e435-3222-42ef-8eb1-6122c34cb2f2,10f3d427-8f0d-4985-8d38-c80ed0eceb23,Non-Convertible debentures / Bonds,,67.41166
c165c5bc-cecf-4202-abb6-4df531618808,5fb001ec-1da0-49db-9489-8efc20fe9589,Non-Convertible debentures / Bonds,,5.188322
9695d125-d492-486e-8612-f6a700ba4830,baa02901-03f9-4397-a6e8-587139e0ad5c,Non-Convertible debentures / Bonds,,0.012424
