id,started_at,finished_at,status,config_json,pages_seen,files_seen,rows_inserted,rows_rejected,error_summary
d0cdd45d-929a-4839-b4c9-4d07657d1f7d,2026-08-20 15:45:39.751522+00:00,2026-08-20 15:46:05.403443+00:00,completed,"{'task_urls': ['https://amc.ppfas.com/downloads/portfolio-disclosure/'], 'max_pages': 5, 'max_depth': 5, 'max_files': 12, 'use_browser': False, 'use_vlm': False}",1,12,5484,0,"{'errors': [], 'retry_tasks': 0}"
3ba84f35-9139-4e6a-b158-2ff623d32cf5,2026-08-20 15:47:37.569400+00:00,2026-08-20 15:48:03.589759+00:00,completed,"{'task_urls': ['https://amc.ppfas.com/downloads/portfolio-disclosure/'], 'max_pages': 5, 'max_depth': 5, 'max_files': 12, 'use_browser': False, 'use_vlm': False}",1,12,5484,0,"{'errors': [], 'retry_tasks': 0}"
079ae59a-c94a-47e8-8100-92f30b550f8f,2026-08-20 15:53:20.619552+00:00,2026-08-20 15:53:46.907449+00:00,completed,"{'task_urls': ['https://amc.ppfas.com/downloads/portfolio-disclosure/'], 'max_pages': 5, 'max_depth': 5, 'max_files': 12, 'use_browser': False, 'use_vlm': False}",1,12,5484,0,"{'errors': [], 'retry_tasks': 0}"
0e0111be-d9ac-4160-b850-b1f65169b5ab,2026-08-20 16:01:40.623506+00:00,2026-08-20 16:02:07.292652+00:00,completed,"{'task_urls': ['https://amc.ppfas.com/downloads/portfolio-disclosure/'], 'max_pages': 5, 'max_depth': 5, 'max_files': 12, 'use_browser': False, 'use_vlm': False}",1,12,5484,0,"{'errors': [], 'retry_tasks': 0}"
19d0b1b2-a4f5-4f5c-a54c-5fa1eb9fb36d,2026-08-20 16:10:52.218364+00:00,2026-08-20 16:11:27.566806+00:00,completed,"{'task_urls': ['https://mutualfund.adityabirlacapital.com/forms-and-downloads/portfolio'], 'max_pages': 5, 'max_depth': 5, 'max_files': 12, 'use_browser': False, 'use_vlm': False}",5,12,0,0,"{'errors': [{'url': 'https://portfoliomanagementservices.adityabirlacapital.com/', 'error': 'fetch_failed', 'status': 0}], 'retry_tasks': 1}"
bfd9266b-6ca8-4989-a54a-1d58a6d7aa40,2026-08-20 16:14:15.591631+00:00,2026-08-20 16:14:15.833787+00:00,completed,"{'task_urls': ['https://www.hdfcfund.com/statutory-disclosure/portfolio-disclosure'], 'max_pages': 5, 'max_depth': 5, 'max_files': 12, 'use_browser': False, 'use_vlm': False}",1,0,0,0,"{'errors': [{'url': 'https://www.hdfcfund.com/statutory-disclosure/portfolio-disclosure', 'error': 'fetch_failed', 'status': 403}], 'retry_tasks': 1}"
00eeaab7-f929-43ca-978c-3655dab15319,2026-08-20 16:15:24.927078+00:00,2026-08-20 16:15:59.459402+00:00,completed,"{'task_urls': ['https://mutualfund.adityabirlacapital.com/forms-and-downloads/disclosures'], 'max_pages': 5, 'max_depth': 5, 'max_files': 12, 'use_browser': False, 'use_vlm': False}",5,12,0,0,"{'errors': [{'url': 'https://portfoliomanagementservices.adityabirlacapital.com/', 'error': 'fetch_failed', 'status': 0}], 'retry_tasks': 1}"
b460c25d-fe5a-4324-b1da-e8eb5d3a7697,2026-08-20 16:19:16.690521+00:00,,running,"{'task_urls': ['https://www.icicipruamc.com/media-center/downloads?currentTabFilter=OtherSchemeDisclosures&&subCatTabFilter=FortnightlyPortfolioDisclosures'], 'max_pages': 5, 'max_depth': 5, 'max_files': 12, 'use_browser': True, 'use_vlm': False}",0,0,0,0,{}
c086dcf3-4a89-4ec9-a476-ed3367406b3c,2026-08-20 17:46:46.555004+00:00,,running,"{'task_urls': ['https://www.icicipruamc.com/media-center/downloads?currentTabFilter=OtherSchemeDisclosures&&subCatTabFilter=FortnightlyPortfolioDisclosures'], 'max_pages': 5, 'max_depth': 5, 'max_files': 12, 'use_browser': True, 'use_vlm': False}",0,0,0,0,{}
bd10998e-7a28-4155-8df7-427136da9384,2026-08-20 18:19:10.319175+00:00,2026-08-20 18:19:34.706978+00:00,completed,"{'task_urls': ['https://www.miraeassetmf.co.in/downloads/portfolio'], 'max_pages': 3, 'max_depth': 5, 'max_files': 20, 'use_browser': False, 'use_vlm': False}",3,10,0,0,"{'errors': [], 'retry_tasks': 0}"
