110,BANDHAN LIQUID Fund -Direct Plan -Weekly IDCW,BANDHAN LIQUID Fund -Direct Plan -Weekly IDCW,BANDHAN LIQUID Fund -Direct Plan -Weekly IDCW,BANDHAN LIQUID Fund -Direct Plan -Weekly IDCW
111,1007.1434,,,07-Apr-2023 13:03:38
112,BANDHAN LIQUID Fund -Direct Plan-Daily IDCW,BANDHAN LIQUID Fund -Direct Plan-Daily IDCW,BANDHAN LIQUID Fund -Direct Plan-Daily IDCW,BANDHAN LIQUID Fund -Direct Plan-Daily IDCW
113,1001.8499,,,07-Apr-2023 13:03:38
114,BANDHAN LIQUID Fund -Direct Plan-Growth,BANDHAN LIQUID Fund -Direct Plan-Growth,BANDHAN LIQUID Fund -Direct Plan-Growth,BANDHAN LIQUID Fund -Direct Plan-Growth
115,2722.9578,,,07-Apr-2023 13:03:38
116,BANDHAN LIQUID Fund -Direct Plan-Periodic IDCW,BANDHAN LIQUID Fund -Direct Plan-Periodic IDCW,BANDHAN LIQUID Fund -Direct Plan-Periodic IDCW,BANDHAN LIQUID Fund -Direct Plan-Periodic IDCW
117,1097.0362,,,07-Apr-2023 13:03:38
118,BANDHAN Overnight Fund,BANDHAN Overnight Fund,BANDHAN Overnight Fund,BANDHAN Overnight Fund
119,BANDHAN Overnight Fund - Direct Plan - Daily IDCW,BANDHAN Overnight Fund - Direct Plan - Daily IDCW,BANDHAN Overnight Fund - Direct Plan - Daily IDCW,BANDHAN Overnight Fund - Direct Plan - Daily IDCW
120,1000.1736,,,07-Apr-2023 13:03:38
121,BANDHAN Overnight Fund - Direct Plan - Growth,BANDHAN Overnight Fund - Direct Plan - Growth,BANDHAN Overnight Fund - Direct Plan - Growth,BANDHAN Overnight Fund - Direct Plan - Growth
122,1197.1170,,,07-Apr-2023 13:03:38
123,BANDHAN Overnight Fund - Direct Plan - Monthly IDCW,BANDHAN Overnight Fund - Direct Plan - Monthly IDCW,BANDHAN Overnight Fund - Direct Plan - Monthly IDCW,BANDHAN Overnight Fund - Direct Plan - Monthly IDCW
124,1001.6232,,,07-Apr-2023 13:03:38
125,BANDHAN Overnight Fund - Direct Plan - Periodic IDCW,BANDHAN Overnight Fund - Direct Plan - Periodic IDCW,BANDHAN Overnight Fund - Direct Plan - Periodic IDCW,BANDHAN Overnight Fund - Direct Plan - Periodic IDCW
126,1090.5561,,,07-Apr-2023 13:03:38
127,BANDHAN Overnight Fund - Direct Plan - Weekly IDCW,BANDHAN Overnight Fund - Direct Plan - Weekly IDCW,BANDHAN Overnight Fund - Direct Plan - Weekly IDCW,BANDHAN Overnight Fund - Direct Plan - Weekly IDCW
128,1000.1309,,,07-Apr-2023 13:03:38
129,BANDHAN Overnight Fund - Regular Plan - Daily IDCW,BANDHAN Overnight Fund - Regular Plan - Daily IDCW,BANDHAN Overnight Fund - Regular Plan - Daily IDCW,BANDHAN Overnight Fund - Regular Plan - Daily IDCW
130,1000.1709,,,07-Apr-2023 13:03:38
